CMDLINE /usr/bin/python3 examples/connectivity_classes.py
MEM 0.437500 1774329841.1249
MEM 41.621094 1774329841.2251
MEM 98.070312 1774329841.3253
MEM 128.285156 1774329841.4276
MEM 165.464844 1774329841.5278
MEM 183.859375 1774329841.6280
MEM 198.082031 1774329841.7282
MEM 207.105469 1774329841.8284
MEM 259.996094 1774329841.9287
MEM 287.714844 1774329842.0289
MEM 319.328125 1774329842.1291
MEM 350.988281 1774329842.2293
MEM 479.414062 1774329842.3295
MEM 565.816406 1774329842.4298
MEM 604.632812 1774329842.5302
MEM 604.632812 1774329842.6306
MEM 571.199219 1774329842.7308
MEM 604.636719 1774329842.8311
MEM 604.636719 1774329842.9313
MEM 597.695312 1774329843.0317
MEM 548.632812 1774329843.1319
MEM 561.691406 1774329843.2322
MEM 604.644531 1774329843.3326
MEM 604.644531 1774329843.4329
MEM 604.644531 1774329843.5332
MEM 587.394531 1774329843.6336
MEM 567.707031 1774329843.7338
MEM 561.527344 1774329843.8341
MEM 604.468750 1774329843.9345
MEM 604.468750 1774329844.0348
MEM 548.468750 1774329844.1351
MEM 591.531250 1774329844.2354
MEM 604.468750 1774329844.3358
MEM 604.492188 1774329844.4362
MEM 604.394531 1774329844.5365
MEM 604.394531 1774329844.6369
MEM 604.394531 1774329844.7372
MEM 570.671875 1774329844.8375
MEM 548.386719 1774329844.9377
MEM 561.445312 1774329845.0380
MEM 557.542969 1774329845.1383
MEM 604.484375 1774329845.2387
MEM 604.484375 1774329845.3390
MEM 604.484375 1774329845.4394
MEM 604.484375 1774329845.5397
MEM 589.449219 1774329845.6400
MEM 548.484375 1774329845.7402
MEM 604.484375 1774329845.8406
MEM 604.484375 1774329845.9409
MEM 604.484375 1774329846.0412
MEM 604.484375 1774329846.1416
MEM 601.546875 1774329846.2419
MEM 561.445312 1774329846.3423
MEM 597.917969 1774329846.4426
MEM 548.480469 1774329846.5429
MEM 604.480469 1774329846.6432
MEM 604.480469 1774329846.7435
MEM 595.542969 1774329846.8438
MEM 575.542969 1774329846.9441
MEM 587.234375 1774329847.0444
MEM 563.546875 1774329847.1447
MEM 604.484375 1774329847.2450
MEM 604.335938 1774329847.3453
MEM 604.335938 1774329847.4457
MEM 579.355469 1774329847.5460
MEM 586.285156 1774329847.6463
MEM 581.722656 1774329847.7466
MEM 604.789062 1774329847.8470
MEM 604.546875 1774329847.9473
MEM 604.425781 1774329848.0475
MEM 601.351562 1774329848.1477
MEM 548.390625 1774329848.2479
MEM 604.390625 1774329848.3480
MEM 559.488281 1774329848.4482
MEM 601.492188 1774329848.5483
MEM 555.480469 1774329848.6486
MEM 599.488281 1774329848.7501
MEM 604.597656 1774329848.8504
MEM 587.257812 1774329848.9506
MEM 604.507812 1774329849.0508
MEM 604.507812 1774329849.1509
MEM 604.507812 1774329849.2511
MEM 569.472656 1774329849.3512
MEM 552.902344 1774329849.4513
MEM 552.902344 1774329849.5514
MEM 604.363281 1774329849.6518
MEM 548.265625 1774329849.7519
MEM 581.429688 1774329849.8522
MEM 573.332031 1774329849.9523
MEM 604.269531 1774329850.0525
MEM 604.269531 1774329850.1526
MEM 589.332031 1774329850.2527
MEM 561.191406 1774329850.3528
MEM 833.835938 1774329850.4530
MEM 732.101562 1774329850.5531
MEM 357.808594 1774329850.6533
MEM 357.808594 1774329850.7534
